order_id,order_date,order_time,city,zone,rider_id,vehicle_type,order_type,distance_km,promised_delivery_mins,actual_delivery_mins,delay_mins,delivery_status,weather_condition,order_value_inr,delivery_attempts,rider_experience_yrs,rider_rating,gps_latitude,gps_longitude,city_cleaned,vehicle_type_cleaned,actual_delivery_mins_cleaned,zone_cleaned,order_time_dt,hour
ORD000001,2024-09-02,13:10,Chennai,East,RID0022,Cycle,Electronics,11.05,60,57.4,-2.6,On-Time,Partly Cloudy,377.96,1,7.9,4.6,28.9867,87.3825,Chennai,Cycle,57.4,East,1900-01-01 13:10:00,13
ORD000002,2024-09-13,14:53,Delhi,East,RID0100,cycle,Electronics,14.75,30,29.7,-0.3,On-Time,Clear,1352.8,1,0.4,4.5,36.7618,84.6386,Delhi,Cycle,29.7,East,1900-01-01 14:53:00,14
ORD000003,2024-02-28,18:01,Lucknow,,RID0010,Bike,Documents,11.21,60,87.0,27.0,Delayed,Clear,1302.15,2,7.8,3.4,,,Lucknow,Bike,87.0,,1900-01-01 18:01:00,18
ORD000004,2024-07-13,14:59,Chennai,North,RID0050,AUTO,Documents,10.27,30,57.2,27.2,Delayed,Rain,3308.73,1,6.8,4.4,17.7429,71.3316,Chennai,Auto,57.2,North,1900-01-01 14:59:00,14
ORD000005,2024-07-24,14:28,Jaipur,South,RID0078,Bike,Apparel,13.07,60,55.5,-4.5,On-Time,Partly Cloudy,3095.74,2,1.1,3.1,22.9501,96.495,Jaipur,Bike,55.5,South,1900-01-01 14:28:00,14
ORD000006,2024-06-10,19:10,Mumbai,Central,RID0114,cycle,Food,6.55,45,86.5,41.5,Delayed,Partly Cloudy,538.42,3,2.6,3.6,34.1227,96.8385,Mumbai,Cycle,86.5,Central,1900-01-01 19:10:00,19
ORD000007,2024-02-04,13:25, Ahmedabad,North,RID0103,BIKE,Documents,11.94,30,28.2,-1.8,On-Time,Clear,370.27,1,5.9,3.1,23.1091,93.7617,Ahmedabad,Bike,28.2,North,1900-01-01 13:25:00,13
ORD000008,2024-05-13,20:13, Ahmedabad,North,RID0030,auto,Electronics,16.89,45,48.2,3.2,On-Time,Clear,596.55,1,6.2,4.6,19.2567,70.6562,Ahmedabad,Auto,48.2,North,1900-01-01 20:13:00,20
ORD000009,2024-07-11,10:10,Lucknow,South,RID0087,Van,Medicine,9.42,30,82.2,52.2,Delayed,Rain,479.38,1,6.5,4.5,31.0536,77.8506,Lucknow,Van,82.2,South,1900-01-01 10:10:00,10
ORD000010,2024-05-30,19:10,Chennai,South,,AUTO,Grocery,11.77,90,114.4,24.4,Delayed,Rain,2323.5,1,3.9,4.2,17.6302,75.5919,Chennai,Auto,114.4,South,1900-01-01 19:10:00,19
ORD000011,2024-06-28,15:41, Ahmedabad,Central,RID0040,Van,Food,8.88,45,36.4,-8.6,On-Time,Clear,1717.72,2,2.7,3.5,26.3852,87.6456,Ahmedabad,Van,36.4,Central,1900-01-01 15:41:00,15
ORD000012,2024-06-18,17:16,delhi,East,RID0065,Cycle,Food,15.58,30,10.4,-19.6,On-Time,Clear,4464.37,1,7.6,4.1,30.2101,84.6346,Delhi,Cycle,10.4,East,1900-01-01 17:16:00,17
ORD000013,2024-01-12,10:46,Ahmedabad,South,RID0049,AUTO,Grocery,4.78,90,107.6,17.6,Delayed,Clear,1480.47,1,6.8,4.4,10.7291,74.7275,Ahmedabad,Auto,107.6,South,1900-01-01 10:46:00,10
ORD000014,2024-07-02,19:18,Mumbai,Central,RID0021,auto,Grocery,6.47,60,122.7,62.7,Delayed,Fog,2002.97,1,3.6,5.0,21.573,76.0891,Mumbai,Auto,122.7,Central,1900-01-01 19:18:00,19
ORD000015,2024-01-24,13:30,Bangaluru,South,RID0107,auto,Medicine,11.44,60,58.4,-1.6,On-Time,Clear,1376.64,1,2.9,3.6,36.1944,88.046,Bangalore,Auto,58.4,South,1900-01-01 13:30:00,13
ORD000016,2024-04-23,18:44,Ahmedabad,East,RID0037,Cycle,Grocery,6.29,60,104.7,44.7,Delayed,Partly Cloudy,289.28,1,7.7,4.9,22.7833,88.5377,Ahmedabad,Cycle,104.7,East,1900-01-01 18:44:00,18
ORD000017,2024-08-19,09:39,Lucknow,East,RID0121,bike,Medicine,4.68,90,143.1,53.1,Delayed,Rain,3371.9,1,7.5,3.5,24.5666,79.7742,Lucknow,Bike,143.1,East,1900-01-01 09:39:00,9
ORD000018,2024-07-28,09:08,Hyderabad,South,,Van,Apparel,1.4,60,95.9,35.9,Delayed,Partly Cloudy,4194.54,1,2.5,3.4,19.0632,69.2606,Hyderabad,Van,95.9,South,1900-01-01 09:08:00,9
ORD000019,2024-03-29,07:15,Pune,West,RID0100,BIKE,Medicine,16.11,45,45.3,0.3,On-Time,Clear,2108.19,1,6.6,4.4,15.641,86.5226,Pune,Bike,45.3,West,1900-01-01 07:15:00,7
ORD000020,2024-02-22,11:23,Lucknow,West,RID0019,Auto,Apparel,10.55,90,92.9,2.9,On-Time,Clear,2192.12,1,2.8,3.6,32.4262,76.8739,Lucknow,Auto,92.9,West,1900-01-01 11:23:00,11
ORD000021,2024-03-26,06:40,delhi,,RID0116,Van,Grocery,3.56,45,17.1,-27.9,On-Time,Clear,2296.39,2,2.9,5.0,25.8946,78.4251,Delhi,Van,17.1,,1900-01-01 06:40:00,6
ORD000022,2024-11-28,11:28,Kolkata,West,RID0045,BIKE,Food,6.17,90,78.9,-11.1,On-Time,Partly Cloudy,3522.74,2,7.8,3.9,18.7822,84.6861,Kolkata,Bike,78.9,West,1900-01-01 11:28:00,11
ORD000023,2024-02-04,17:15,Mumbai,Central,RID0122,BIKE,Medicine,4.14,60,91.5,31.5,Delayed,Rain,1381.62,1,4.7,4.2,10.2205,83.5053,Mumbai,Bike,91.5,Central,1900-01-01 17:15:00,17
ORD000024,2024-02-28,11:42,Pune,Central,RID0035,Auto,Food,6.25,60,36.6,-23.4,On-Time,Clear,1096.88,3,7.8,3.3,11.3592,68.7335,Pune,Auto,36.6,Central,1900-01-01 11:42:00,11
ORD000025,2024-10-26,13:10,Ahmedabad,Central,RID0035,van,Grocery,2.07,60,59.2,-0.8,On-Time,Rain,4595.6,2,6.8,3.8,17.5179,88.1994,Ahmedabad,Van,59.2,Central,1900-01-01 13:10:00,13
ORD000026,2024-10-19,12:20,Hyderabad,Central,RID0083,BIKE,Apparel,8.06,60,57.1,-2.9,On-Time,Clear,1104.41,1,6.0,3.4,12.9299,85.1411,Hyderabad,Bike,57.1,Central,1900-01-01 12:20:00,12
ORD000027,2024-10-17,17:51,Hyderabad,East,RID0023,BIKE,Electronics,2.37,30,57.8,27.8,Delayed,Rain,4227.15,1,5.3,4.2,,,Hyderabad,Bike,57.8,East,1900-01-01 17:51:00,17
ORD000028,2024-03-17,11:10,chennai,South,RID0091,cycle,Documents,9.83,30,25.7,-4.3,On-Time,Clear,224.17,1,3.9,4.4,35.0956,71.8556,Chennai,Cycle,25.7,South,1900-01-01 11:10:00,11
ORD000029,2024-10-01,08:06,Kolkata ,West,RID0143,Auto,Electronics,6.75,90,99.8,9.8,Delayed,Clear,2190.78,3,5.5,4.5,32.6134,78.406,Kolkata,Auto,99.8,West,1900-01-01 08:06:00,8
ORD000030,2024-10-14,09:20,Bangaluru,South,RID0077,bike,Electronics,8.25,90,141.1,51.1,Delayed,Fog,4851.19,1,0.5,3.9,12.0607,83.915,Bangalore,Bike,141.1,South,1900-01-01 09:20:00,9
ORD000031,2024-10-20,18:54,Mumbai,West,RID0108,Cycle,Medicine,2.53,45,62.0,17.0,Delayed,Clear,906.01,1,3.8,3.8,9.349,82.4801,Mumbai,Cycle,62.0,West,1900-01-01 18:54:00,18
ORD000032,2024-03-08,11:38,Mumbai,Central,RID0005,Auto,Apparel,16.7,45,25.7,-19.3,On-Time,Clear,355.25,1,1.5,3.2,22.1023,80.2945,Mumbai,Auto,25.7,Central,1900-01-01 11:38:00,11
ORD000033,2024-04-11,08:37,Mumbai,Central,RID0136,Cycle,Electronics,6.13,120,176.1,56.1,Delayed,Rain,3216.33,2,2.4,4.3,25.6696,78.9629,Mumbai,Cycle,176.1,Central,1900-01-01 08:37:00,8
ORD000034,2024-11-11,19:15,Jaipur,West,RID0120,Cycle,Medicine,11.46,45,58.6 mins,13.6,Delayed,Clear,823.77,1,4.2,3.4,35.2954,87.7898,Jaipur,Cycle,58.6,West,1900-01-01 19:15:00,19
ORD000035,2024-12-06,19:55,Pune,,RID0112,Van,Apparel,17.17,45,56.6,11.6,Delayed,Clear,720.52,1,7.8,4.1,30.0512,79.6892,Pune,Van,56.6,,1900-01-01 19:55:00,19
ORD000036,2024-02-24,08:00,Kolkata,North,RID0090,Van,Food,269.08,60,68.4,8.4,Delayed,Clear,3058.0,1,5.4,4.8,36.1853,88.5907,Kolkata,Van,68.4,North,1900-01-01 08:00:00,8
ORD000037,2024-10-20,10:03,Bangalore,West,RID0046,Cycle,Grocery,12.65,45,77.0,32.0,Delayed,Fog,2064.59,1,1.9,4.4,22.7043,77.1138,Bangalore,Cycle,77.0,West,1900-01-01 10:03:00,10
ORD000038,2024-05-15,20:18,Delhi,West,RID0120,cycle,Grocery,488.92,30,82.8,52.8,Delayed,Rain,2494.76,1,4.5,3.6,26.3668,73.4085,Delhi,Cycle,82.8,West,1900-01-01 20:18:00,20
ORD000039,2024-07-21,06:16,MUMBAI,Central,RID0067,Van,Electronics,408.43,45,24.3,-20.7,On-Time,Partly Cloudy,1315.43,2,3.3,4.4,12.3101,87.8265,Mumbai,Van,24.3,Central,1900-01-01 06:16:00,6
ORD000040,2024-11-06,21:53,Ahmedabad,North,RID0014,auto,Grocery,6.91,120,129.7,9.7,Delayed,Clear,1909.85,1,5.5,5.0,20.3405,83.1451,Ahmedabad,Auto,129.7,North,1900-01-01 21:53:00,21
ORD000041,2024-01-16,13:12,Lucknow,North,RID0022,AUTO,Apparel,16.05,30,89.4,59.4,Delayed,Fog,4549.0,2,2.4,4.2,33.7832,69.8847,Lucknow,Auto,89.4,North,1900-01-01 13:12:00,13
ORD000042,2024-03-25,21:08,Ahmedabad,West,RID0072,auto,Grocery,2.02,120,118.6 mins,-1.4,On-Time,Clear,4220.14,1,6.9,4.5,14.3225,76.7154,Ahmedabad,Auto,118.6,West,1900-01-01 21:08:00,21
ORD000043,2024-10-15,07:52,Bangalore,South,RID0089,AUTO,Electronics,8.48,45,102.0,57.0,Delayed,Fog,4852.31,1,1.9,4.1,22.9346,75.0269,Bangalore,Auto,102.0,South,1900-01-01 07:52:00,7
ORD000044,2024-06-08,18:42,Jaipur,South,RID0039,Bike,Electronics,16.46,90,118.7,28.7,Delayed,Clear,1420.06,1,5.9,3.3,11.8044,94.278,Jaipur,Bike,118.7,South,1900-01-01 18:42:00,18
ORD000045,2024-12-22,09:27,Jaipur,North,RID0121,Auto,Medicine,10.63,60,98.2,38.2,Delayed,Clear,1422.05,2,4.1,4.0,9.7003,79.7269,Jaipur,Auto,98.2,North,1900-01-01 09:27:00,9
